bookId,title,description,genre,author,year_published,status,borrower
1,Battle for the American Mind,"The ""Fox & Friends Weekend"" host makes his case for what he calls classical Christian education.",Memoir,Pete Hegseth; David Goodwin,2022,N,rachel
2,Battle for the American Mind,"The ""Fox & Friends Weekend"" host makes his case for what he calls classical Christian education.",Memoir,Pete Hegseth; David Goodwin,2022,A,
3,Battle for the American Mind,"The ""Fox & Friends Weekend"" host makes his case for what he calls classical Christian education.",Memoir,Pete Hegseth; David Goodwin,2022,A,
4,The Hotel Nantucket,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,Fantasy,Elin Hilderbrand,2022,A,
5,The Hotel Nantucket,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,Fantasy,Elin Hilderbrand,2022,A,
6,The Hotel Nantucket,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,Fantasy,Elin Hilderbrand,2022,N,belinda
7,The Hotel Nantucket,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,Fantasy,Elin Hilderbrand,2022,A,
8,Happy-Go-Lucky,The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic.,Motivational,David Sedaris,2022,A,
9,Happy-Go-Lucky,The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic.,Motivational,David Sedaris,2022,N,dylan
10,Happy-Go-Lucky,The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic.,Motivational,David Sedaris,2022,A,
